Date,Close,High,Low,Open,Volume
2010-06-23,5323.149902,5333.299805,5288.149902,5316.149902,218787111
2010-06-24,5320.600098,5348.299805,5284.549805,5323.25,164967805
2010-06-25,5269.049805,5320.5,5259.899902,5320.5,154140414
2010-06-28,5333.5,5339.450195,5270.75,5271.100098,158720263
2010-06-29,5256.149902,5334.149902,5235.799805,5333.549805,183722824
2010-06-30,5312.5,5320.350098,5210,5254.25,141430947
2010-07-01,5251.399902,5312.549805,5232.100098,5312.049805,149979351
2010-07-02,5237.100098,5277.25,5225.600098,5251.25,100621413
2010-07-05,5235.899902,5252.75,5225.850098,5237,115506191
2010-07-06,5289.049805,5297.450195,5231.5,5236.100098,132390232
2010-07-07,5241.100098,5296.75,5233.450195,5293.100098,127297125
2010-07-08,5296.850098,5320.5,5242,5242,216660647
2010-07-09,5352.450195,5359.049805,5297.200195,5297.200195,189500080
2010-07-12,5383,5402.700195,5351.600098,5352.25,226045986
2010-07-13,5400.649902,5406.200195,5357.850098,5370.200195,211034896
2010-07-14,5386.149902,5453.450195,5371.700195,5402,155118828
2010-07-15,5378.75,5399.200195,5360.600098,5387.100098,143220575
2010-07-16,5393.899902,5401.350098,5374.399902,5376.649902,116584791
2010-07-19,5386.450195,5409.100098,5361.5,5392.700195,121626463
2010-07-20,5368,5416.450195,5353.600098,5387,122859037
2010-07-21,5399.350098,5409.100098,5368.850098,5368.850098,155995093
2010-07-22,5441.950195,5447.149902,5372.200195,5399.149902,165925947
2010-07-23,5449.100098,5477.5,5435.149902,5441.899902,147330374
2010-07-26,5418.600098,5466.25,5409.200195,5446.549805,155306187
2010-07-27,5430.600098,5450.950195,5407.200195,5420.200195,146938758
2010-07-28,5397.549805,5447.850098,5386.25,5436.100098,162309098
2010-07-29,5408.899902,5415.850098,5381.549805,5397.850098,131797420
2010-07-30,5367.600098,5413.25,5349.200195,5408.399902,104231289
2010-08-02,5431.649902,5438.850098,5351.299805,5369.549805,130727919
2010-08-03,5439.549805,5459.200195,5426.399902,5432.5,120781454
2010-08-04,5467.850098,5481.899902,5428.399902,5441.350098,129638121
2010-08-05,5447.100098,5487.149902,5443.100098,5470.149902,116668077
2010-08-06,5439.25,5471.899902,5431.350098,5448.25,137005276
2010-08-09,5486.149902,5492.299805,5433.25,5439.799805,164218108
2010-08-10,5460.700195,5491.450195,5445.350098,5486.799805,174632660
2010-08-11,5420.600098,5474.600098,5412,5460.700195,172039387
2010-08-12,5416.450195,5431.100098,5372.450195,5418.700195,154913632
2010-08-13,5452.100098,5476.5,5415.5,5420.649902,189453492
2010-08-16,5418.299805,5465.25,5397.399902,5452.100098,138282188
2010-08-17,5414.149902,5443.549805,5408.799805,5422.149902,154252402
2010-08-18,5479.149902,5487.950195,5416.25,5416.25,167740837
2010-08-19,5540.200195,5544.700195,5478.100098,5478.25,144072389
2010-08-20,5530.649902,5546.600098,5513.350098,5540.799805,118735153
2010-08-23,5543.5,5549.799805,5519.399902,5531.149902,139147479
2010-08-24,5505.100098,5547.25,5488.450195,5541.100098,157764424
2010-08-25,5462.350098,5506.149902,5452.549805,5505.299805,186378293
2010-08-26,5477.899902,5486.549805,5454.700195,5462.100098,142325823
2010-08-27,5408.700195,5495.200195,5391.950195,5489.600098,113842559
2010-08-30,5415.450195,5469,5390.350098,5408.899902,157131369
2010-08-31,5402.399902,5413.899902,5348.899902,5413.549805,144228489
2010-09-01,5471.850098,5478.600098,5403.049805,5403.049805,159665619
2010-09-02,5486.149902,5513.950195,5471.850098,5471.899902,146809469
2010-09-03,5479.399902,5510.399902,5473.649902,5486.299805,158938306
2010-09-06,5576.950195,5589.399902,5479.549805,5479.549805,177476993
2010-09-07,5604,5625.5,5571.649902,5575.899902,135333275
2010-09-08,5607.850098,5625.299805,5567.75,5604.25,138061072
2010-09-09,5640.049805,5647.450195,5608.100098,5608.299805,152799959
2010-09-13,5760,5770.600098,5639.200195,5639.200195,188426968
2010-09-14,5795.549805,5838.450195,5760.299805,5760.299805,187206098
2010-09-15,5860.950195,5869.450195,5792.200195,5795.25,192466127
2010-09-16,5828.700195,5901.649902,5815.799805,5861.100098,211380366
2010-09-17,5884.950195,5898.399902,5828.700195,5828.700195,193474676
2010-09-20,5980.450195,5989.5,5885.049805,5885.049805,200950471
2010-09-21,6009.049805,6032.799805,5961.850098,5980.5,170150328
2010-09-22,5991,6037.399902,5946.450195,6008.399902,135577520
2010-09-23,5959.549805,6006.799805,5932.399902,5991.049805,176456881
2010-09-24,6018.299805,6029.100098,5951.200195,5959.450195,166773894
2010-09-27,6035.649902,6073.5,6018.299805,6018.299805,170651346
2010-09-28,6029.5,6049.799805,5991.299805,6036.049805,183154443
2010-09-29,5991.299805,6071.549805,5979.649902,6029.149902,217770233
2010-09-30,6029.950195,6048.450195,5963.600098,5991.350098,179173861
2010-10-01,6143.399902,6153.100098,6030.299805,6030.299805,184600423
2010-10-04,6159.450195,6222.100098,6144.700195,6144.700195,145235637
2010-10-05,6145.799805,6188.350098,6118.049805,6159.450195,152497661
2010-10-06,6186.450195,6223.399902,6148.600098,6150.950195,168880938
2010-10-07,6120.299805,6199.450195,6107.5,6186.850098,134638713
2010-10-08,6103.450195,6148.600098,6067,6121.399902,115776692
2010-10-11,6135.850098,6187.75,6105.950195,6105.950195,109943866
2010-10-12,6090.899902,6144.950195,6057.950195,6135.950195,148662525
2010-10-13,6233.899902,6240.25,6089.75,6091.450195,128486390
2010-10-14,6177.350098,6284.100098,6157.899902,6234.299805,111058422
2010-10-15,6062.649902,6200.600098,6050.350098,6175.899902,138750722
2010-10-18,6075.950195,6115.100098,5985.100098,6112.75,130458477
2010-10-19,6027.299805,6127.049805,6008.149902,6114.450195,105107009
2010-10-20,5982.100098,6038.100098,5966.75,6002.950195,123101282
2010-10-21,6101.5,6113.5,5984.899902,6008.899902,109374888
2010-10-22,6066.049805,6121.100098,6041.350098,6113.399902,123118093
2010-10-25,6105.799805,6151.299805,6094.600098,6101.25,113451560
2010-10-26,6082,6120.25,6074.649902,6116.299805,116710581
2010-10-27,6012.649902,6075.950195,5987.549805,6075.450195,228786632
2010-10-28,5987.700195,6071.100098,5968.100098,6039.950195,137878156
2010-10-29,6017.700195,6032.649902,5937.100098,6021.149902,128909525
2010-11-01,6117.549805,6132.399902,6084.75,6092.299805,122092224
2010-11-02,6119,6138.100098,6094.399902,6127.549805,111324417
2010-11-03,6160.5,6182.5,6146.799805,6150.600098,125032367
2010-11-04,6281.799805,6290.149902,6199.350098,6209.600098,27174949
2010-11-08,6273.200195,6335.899902,6265.350098,6335.25,153925612
2010-11-09,6301.549805,6310.899902,6243.549805,6281,139822783
2010-11-10,6275.700195,6307.649902,6269.25,6303.200195,125609850
2010-11-11,6194.25,6296.549805,6179.5,6286.350098,169295911
2010-11-12,6071.649902,6202.5,6056.75,6182.299805,155200157
2010-11-15,6121.600098,6128.75,6039.399902,6079.899902,124265953
2010-11-16,5988.700195,6144.049805,5970.600098,6143.450195,139191484
2010-11-18,5998.799805,6076.200195,5906.75,6075.950195,190221312
2010-11-19,5890.299805,6013.25,5863.950195,6011.299805,150744322
2010-11-22,6010,6020.25,5905.149902,5920.899902,123423130
2010-11-23,5934.75,5973.350098,5824.950195,5971.549805,158866285
2010-11-24,5865.75,5976.649902,5833.600098,5946.799805,125846538
2010-11-25,5799.75,5907.100098,5780.350098,5883.950195,371673464
2010-11-26,5751.950195,5838.5,5690.350098,5828.549805,287201252
2010-11-29,5830,5843.149902,5754.700195,5789.950195,155071028
2010-11-30,5862.700195,5892.25,5768.350098,5811.600098,217959199
2010-12-01,5960.899902,5971,5865.549805,5871,173354997
2010-12-02,6011.700195,6029.5,5980.600098,6023.049805,197376731
2010-12-03,5992.799805,6025.399902,5964.25,6013.350098,165379301
2010-12-06,5992.25,6069.450195,5981.700195,6033.649902,145317173
2010-12-07,5976.549805,6001,5939.700195,5995.049805,145410821
2010-12-08,5903.700195,5960,5878.600098,5954.399902,122572793
2010-12-09,5766.5,5927.299805,5742.299805,5924.25,169510906
2010-12-10,5857.350098,5865.5,5721.149902,5761,167487929
2010-12-13,5907.649902,5913.799805,5795.899902,5882.649902,138228657
2010-12-14,5944.100098,5953.950195,5888.75,5928.700195,125296903
